捞抚,惫,康,荐,苞,乞闭,切痢
切积1,98.0,57.06990788126919,88.0,64.0,76.76747697031729,C
切积2,88.0,90.0,62.0,72.0,78.0,C
切积3,92.0,70.0,56.16032972694487,60.420972335231895,69.64532551554419,F
切积4,63.0,60.0,31.0,70.0,56.0,F
切积5,100.0,50.0,56.16032972694487,88.0,73.54008243173621,C
切积6,56.0,49.0,90.0,44.0,59.75,F
切积7,34.0,28.0,16.0,0.0,19.5,F
切积8,37.0,13.0,9.0,41.0,25.0,F
切积9,14.0,17.0,21.0,77.0,32.25,F
切积10,37.0,20.0,3.0,77.0,34.25,F
切积11,19.0,97.0,28.0,77.0,55.25,F
切积12,57.0,85.0,33.0,84.0,64.75,F
切积13,10.0,21.0,67.0,54.0,38.0,F
切积14,79.0,74.0,14.0,59.0,56.5,F
切积15,96.0,67.0,66.0,48.0,69.25,F
切积16,46.0,25.0,54.0,56.0,45.25,F
切积17,66.0,32.0,77.0,24.0,49.75,F
切积18,46.0,25.0,2.0,12.0,21.25,F
切积19,26.0,10.0,49.0,74.0,39.75,F
切积20,97.0,68.0,65.0,33.0,65.75,F
切积21,86.0,70.0,99.0,45.0,75.0,C
切积22,31.0,62.0,37.0,82.0,53.0,F
切积23,43.0,88.0,11.0,56.0,49.5,F
切积24,6.0,98.0,96.0,74.0,68.5,F
切积25,41.0,75.0,8.0,22.0,36.5,F
切积26,29.0,45.0,94.0,70.0,59.5,F
切积27,83.0,84.0,32.0,91.0,72.5,C
切积28,91.0,1.0,53.0,32.0,44.25,F
切积29,89.0,59.0,10.0,29.0,46.75,F
切积30,84.0,58.0,70.0,25.0,59.25,F
切积31,96.0,95.0,10.0,4.0,51.25,F
切积32,83.0,7.0,64.0,9.0,40.75,F
切积33,67.0,38.0,63.0,26.0,48.5,F
切积34,50.0,72.0,14.0,86.0,55.5,F
切积35,60.0,28.0,49.0,59.0,49.0,F
切积36,71.0,11.0,49.0,62.0,48.25,F
切积37,32.0,63.0,31.0,96.0,55.5,F
切积38,72.0,6.0,73.0,22.0,43.25,F
切积39,29.0,93.0,2.0,85.0,52.25,F
切积40,60.26651228352799,56.0,64.0,24.0,51.066628070882,F
切积41,98.0,57.06990788126919,88.0,64.0,76.76747697031729,C
切积42,88.0,90.0,62.0,72.0,78.0,C
切积43,92.0,70.0,56.16032972694487,60.420972335231895,69.64532551554419,F
切积44,63.0,60.0,31.0,70.0,56.0,F
切积45,21.0,50.0,56.16032972694487,88.0,53.79008243173622,F
切积46,98.0,57.06990788126919,88.0,64.0,76.76747697031729,C
切积47,88.0,90.0,62.0,72.0,78.0,C
切积48,92.0,70.0,56.16032972694487,60.420972335231895,69.64532551554419,F
切积49,63.0,60.0,31.0,70.0,56.0,F
切积50,54.0,50.0,56.16032972694487,88.0,62.04008243173622,F
切积51,64.0,3.0,73.0,83.0,55.75,F
切积52,78.0,58.0,20.0,47.0,50.75,F
切积53,13.0,82.0,57.0,1.0,38.25,F
切积54,4.0,11.0,81.0,76.0,43.0,F
切积55,3.0,25.0,26.0,67.0,30.25,F
切积56,96.0,78.0,1.0,6.0,45.25,F
切积57,78.0,31.0,70.0,91.0,67.5,F
切积58,4.0,63.0,59.0,23.0,37.25,F
切积59,29.0,67.0,49.0,28.0,43.25,F
切积60,93.0,56.0,63.0,55.0,66.75,F
切积61,57.0,65.0,12.0,47.0,45.25,F
切积62,20.0,74.0,56.0,17.0,41.75,F
切积63,6.0,61.0,0.0,20.0,21.75,F
切积64,3.0,11.0,83.0,45.0,35.5,F
切积65,4.0,82.0,88.0,69.0,60.75,F
切积66,62.0,5.0,92.0,67.0,56.5,F
切积67,4.0,12.0,73.0,73.0,40.5,F
切积68,84.0,58.0,70.0,25.0,59.25,F
切积69,96.0,95.0,10.0,4.0,51.25,F
切积70,83.0,7.0,64.0,9.0,40.75,F
切积71,67.0,38.0,63.0,26.0,48.5,F
切积72,50.0,72.0,14.0,86.0,55.5,F
切积73,60.0,28.0,49.0,59.0,49.0,F
切积74,71.0,11.0,49.0,62.0,48.25,F
切积75,32.0,63.0,31.0,96.0,55.5,F
切积76,72.0,6.0,73.0,22.0,43.25,F
切积77,29.0,93.0,2.0,85.0,52.25,F
切积78,60.26651228352799,56.0,64.0,24.0,51.066628070882,F
切积79,98.0,57.06990788126919,88.0,64.0,76.76747697031729,C
切积80,88.0,90.0,62.0,72.0,78.0,C
切积81,92.0,70.0,56.16032972694487,60.420972335231895,69.64532551554419,F
切积82,63.0,60.0,31.0,70.0,56.0,F
切积83,21.0,50.0,56.16032972694487,88.0,53.79008243173622,F
